College,Gender,Race,Year,demographics tooltip,Number of students
Law,Female,"Two or more, excluding Hispanic and Black or African American",2011,6 (0.0%) students,6
Law,Female,Non-resident Alien,2011,40 (0.1%) students,40
Law,Female,Hispanic,2011,79 (0.2%) students,79
Law,Female,"Black or African American, two or more excluding Hispanic",2011,7 (0.0%) students,7
Law,Female,"Black or African American, only",2011,29 (0.1%) students,29
Law,Female,"Asian, only",2011,31 (0.1%) students,31
Law,Female,"White, only",2010,316 (0.6%) students,316
Law,Female,Unknown or Blank,2010,42 (0.1%) students,42
Law,Female,"Two or more, excluding Hispanic and Black or African American",2010,No students match your selections or these data are privacy suppressed.,
Law,Female,Non-resident Alien,2010,39 (0.1%) students,39
Law,Female,Hispanic,2010,83 (0.2%) students,83
Law,Female,"Black or African American, two or more excluding Hispanic",2010,5 (0.0%) students,5
Law,Female,"Black or African American, only",2010,34 (0.1%) students,34
Law,Female,"Asian, only",2010,33 (0.1%) students,33
Law,Female,"White, only",2009,318 (0.6%) students,318
Law,Female,Unknown or Blank,2009,37 (0.1%) students,37
Law,Female,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Law,Female,Non-resident Alien,2009,40 (0.1%) students,40
Law,Female,Hispanic,2009,84 (0.2%) students,84
Law,Female,"Black or African American, two or more excluding Hispanic",2009,No students match your selections or these data are privacy suppressed.,
Law,Female,"Black or African American, only",2009,40 (0.1%) students,40
Law,Female,"Asian, only",2009,35 (0.1%) students,35
Law,Female,"White, only",2008,305 (0.6%) students,305
Law,Female,Unknown or Blank,2008,31 (0.1%) students,31
Law,Female,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Law,Female,Non-resident Alien,2008,37 (0.1%) students,37
Law,Female,Hispanic,2008,84 (0.2%) students,84
Law,Female,"Black or African American, two or more excluding Hispanic",2008,No students match your selections or these data are privacy suppressed.,
Law,Female,"Black or African American, only",2008,45 (0.1%) students,45
Law,Female,"Asian, only",2008,40 (0.1%) students,40
Law,Male,"White, only",2018,367 (0.7%) students,367
Law,Male,Unknown or Blank,2018,20 (0.0%) students,20
Law,Male,"Two or more, excluding Hispanic and Black or African American",2018,11 (0.0%) students,11
Law,Male,Non-resident Alien,2018,46 (0.1%) students,46
Law,Male,Hispanic,2018,76 (0.1%) students,76
Law,Male,"Black or African American, two or more excluding Hispanic",2018,7 (0.0%) students,7
Law,Male,"Black or African American, only",2018,20 (0.0%) students,20
Law,Male,"Asian, only",2018,24 (0.0%) students,24
Law,Male,"White, only",2017,300 (0.6%) students,300
Law,Male,Unknown or Blank,2017,20 (0.0%) students,20
Law,Male,"Two or more, excluding Hispanic and Black or African American",2017,13 (0.0%) students,13
Law,Male,Non-resident Alien,2017,60 (0.1%) students,60
Law,Male,Hispanic,2017,61 (0.1%) students,61
Law,Male,"Black or African American, two or more excluding Hispanic",2017,6 (0.0%) students,6
Law,Male,"Black or African American, only",2017,24 (0.0%) students,24
Law,Male,"Asian, only",2017,18 (0.0%) students,18
Law,Male,"White, only",2016,317 (0.6%) students,317
Law,Male,Unknown or Blank,2016,30 (0.1%) students,30
Law,Male,"Two or more, excluding Hispanic and Black or African American",2016,20 (0.0%) students,20
Law,Male,Non-resident Alien,2016,42 (0.1%) students,42
Law,Male,Hispanic,2016,68 (0.1%) students,68
Law,Male,"Black or African American, two or more excluding Hispanic",2016,9 (0.0%) students,9
Law,Male,"Black or African American, only",2016,25 (0.0%) students,25
Law,Male,"Asian, only",2016,22 (0.0%) students,22
Law,Male,"White, only",2015,309 (0.6%) students,309
Law,Male,Unknown or Blank,2015,38 (0.1%) students,38
Law,Male,"Two or more, excluding Hispanic and Black or African American",2015,19 (0.0%) students,19
Law,Male,Non-resident Alien,2015,45 (0.1%) students,45
Law,Male,Hispanic,2015,73 (0.1%) students,73
Law,Male,"Black or African American, two or more excluding Hispanic",2015,8 (0.0%) students,8
Law,Male,"Black or African American, only",2015,22 (0.0%) students,22
Law,Male,"Asian, only",2015,35 (0.1%) students,35
Law,Male,"White, only",2014,351 (0.7%) students,351
Law,Male,Unknown or Blank,2014,40 (0.1%) students,40
Law,Male,"Two or more, excluding Hispanic and Black or African American",2014,22 (0.0%) students,22
Law,Male,Non-resident Alien,2014,45 (0.1%) students,45
Law,Male,Hispanic,2014,75 (0.1%) students,75
Law,Male,"Black or African American, two or more excluding Hispanic",2014,7 (0.0%) students,7
Law,Male,"Black or African American, only",2014,17 (0.0%) students,17
Law,Male,"Asian, only",2014,42 (0.1%) students,42
Law,Male,"White, only",2013,364 (0.7%) students,364
Law,Male,Unknown or Blank,2013,39 (0.1%) students,39
Law,Male,"Two or more, excluding Hispanic and Black or African American",2013,18 (0.0%) students,18
Law,Male,Non-resident Alien,2013,42 (0.1%) students,42
Law,Male,Hispanic,2013,85 (0.2%) students,85
Law,Male,"Black or African American, two or more excluding Hispanic",2013,6 (0.0%) students,6
Law,Male,"Black or African American, only",2013,16 (0.0%) students,16
Law,Male,"Asian, only",2013,33 (0.1%) students,33
Law,Male,"White, only",2012,363 (0.7%) students,363
Law,Male,Unknown or Blank,2012,46 (0.1%) students,46
Law,Male,"Two or more, excluding Hispanic and Black or African American",2012,12 (0.0%) students,12
Law,Male,Non-resident Alien,2012,45 (0.1%) students,45
Law,Male,Hispanic,2012,82 (0.2%) students,82
Law,Male,"Black or African American, two or more excluding Hispanic",2012,5 (0.0%) students,5
Law,Male,"Black or African American, only",2012,23 (0.0%) students,23
Law,Male,"Asian, only",2012,28 (0.1%) students,28
Law,Male,"White, only",2011,381 (0.7%) students,381
Law,Male,Unknown or Blank,2011,67 (0.1%) students,67
Law,Male,"Two or more, excluding Hispanic and Black or African American",2011,11 (0.0%) students,11
Law,Male,Non-resident Alien,2011,40 (0.1%) students,40
Law,Male,Hispanic,2011,88 (0.2%) students,88
Law,Male,"Black or African American, two or more excluding Hispanic",2011,No students match your selections or these data are privacy suppressed.,
Law,Male,"Black or African American, only",2011,22 (0.0%) students,22
Law,Male,"Asian, only",2011,29 (0.1%) students,29
Law,Male,"White, only",2010,384 (0.8%) students,384
Law,Male,Unknown or Blank,2010,73 (0.1%) students,73
Law,Male,"Two or more, excluding Hispanic and Black or African American",2010,No students match your selections or these data are privacy suppressed.,
Law,Male,Non-resident Alien,2010,33 (0.1%) students,33
Law,Male,Hispanic,2010,90 (0.2%) students,90
Law,Male,"Black or African American, two or more excluding Hispanic",2010,No students match your selections or these data are privacy suppressed.,
Law,Male,"Black or African American, only",2010,22 (0.0%) students,22
Law,Male,"Asian, only",2010,27 (0.1%) students,27
Law,Male,"White, only",2009,391 (0.8%) students,391
Law,Male,Unknown or Blank,2009,66 (0.1%) students,66
Law,Male,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Law,Male,Non-resident Alien,2009,33 (0.1%) students,33
Law,Male,Hispanic,2009,100 (0.2%) students,100
Law,Male,"Black or African American, two or more excluding Hispanic",2009,No students match your selections or these data are privacy suppressed.,
Law,Male,"Black or African American, only",2009,25 (0.0%) students,25
Law,Male,"Asian, only",2009,38 (0.1%) students,38
Law,Male,"White, only",2008,442 (0.9%) students,442
Law,Male,Unknown or Blank,2008,60 (0.1%) students,60
Law,Male,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Law,Male,Non-resident Alien,2008,27 (0.1%) students,27
Law,Male,Hispanic,2008,107 (0.2%) students,107
Law,Male,"Black or African American, two or more excluding Hispanic",2008,No students match your selections or these data are privacy suppressed.,
Law,Male,"Black or African American, only",2008,27 (0.1%) students,27
Law,Male,"Asian, only",2008,42 (0.1%) students,42
Liberal Arts,Female,"White, only",2018,2541 (4.9%) students,2541
Liberal Arts,Female,Unknown or Blank,2018,65 (0.1%) students,65
Liberal Arts,Female,"Two or more, excluding Hispanic and Black or African American",2018,170 (0.3%) students,170
Liberal Arts,Female,Non-resident Alien,2018,504 (1.0%) students,504
Liberal Arts,Female,"Native Hawaiian or Other Pacific Islander, only",2018,5 (0.0%) students,5
Liberal Arts,Female,Hispanic,2018,1738 (3.4%) students,1738
Liberal Arts,Female,"Black or African American, two or more excluding Hispanic",2018,73 (0.1%) students,73
Liberal Arts,Female,"Black or African American, only",2018,316 (0.6%) students,316
Liberal Arts,Female,"Asian, only",2018,748 (1.4%) students,748
Liberal Arts,Female,"American Indian or Alaska Native, only",2018,8 (0.0%) students,8
Liberal Arts,Female,"White, only",2017,2676 (5.2%) students,2676
Liberal Arts,Female,Unknown or Blank,2017,71 (0.1%) students,71
Liberal Arts,Female,"Two or more, excluding Hispanic and Black or African American",2017,156 (0.3%) students,156
Liberal Arts,Female,Non-resident Alien,2017,461 (0.9%) students,461
Liberal Arts,Female,"Native Hawaiian or Other Pacific Islander, only",2017,10 (0.0%) students,10
Liberal Arts,Female,Hispanic,2017,1645 (3.2%) students,1645
Liberal Arts,Female,"Black or African American, two or more excluding Hispanic",2017,72 (0.1%) students,72
Liberal Arts,Female,"Black or African American, only",2017,304 (0.6%) students,304
Liberal Arts,Female,"Asian, only",2017,727 (1.4%) students,727
Liberal Arts,Female,"American Indian or Alaska Native, only",2017,7 (0.0%) students,7
Liberal Arts,Female,"White, only",2016,2728 (5.3%) students,2728
Liberal Arts,Female,Unknown or Blank,2016,81 (0.2%) students,81
Liberal Arts,Female,"Two or more, excluding Hispanic and Black or African American",2016,176 (0.3%) students,176
Liberal Arts,Female,Non-resident Alien,2016,467 (0.9%) students,467
Liberal Arts,Female,"Native Hawaiian or Other Pacific Islander, only",2016,10 (0.0%) students,10
Liberal Arts,Female,Hispanic,2016,1533 (3.0%) students,1533
Liberal Arts,Female,"Black or African American, two or more excluding Hispanic",2016,63 (0.1%) students,63
Liberal Arts,Female,"Black or African American, only",2016,290 (0.6%) students,290
Liberal Arts,Female,"Asian, only",2016,679 (1.3%) students,679
Liberal Arts,Female,"American Indian or Alaska Native, only",2016,11 (0.0%) students,11
Liberal Arts,Female,"White, only",2015,2625 (5.2%) students,2625
Liberal Arts,Female,Unknown or Blank,2015,61 (0.1%) students,61
Liberal Arts,Female,"Two or more, excluding Hispanic and Black or African American",2015,171 (0.3%) students,171
Liberal Arts,Female,Non-resident Alien,2015,408 (0.8%) students,408
Liberal Arts,Female,"Native Hawaiian or Other Pacific Islander, only",2015,7 (0.0%) students,7
Liberal Arts,Female,Hispanic,2015,1345 (2.6%) students,1345
Liberal Arts,Female,"Black or African American, two or more excluding Hispanic",2015,43 (0.1%) students,43
Liberal Arts,Female,"Black or African American, only",2015,270 (0.5%) students,270
Liberal Arts,Female,"Asian, only",2015,581 (1.1%) students,581
Liberal Arts,Female,"American Indian or Alaska Native, only",2015,8 (0.0%) students,8
Liberal Arts,Female,"White, only",2014,2549 (5.0%) students,2549
Liberal Arts,Female,Unknown or Blank,2014,58 (0.1%) students,58
Liberal Arts,Female,"Two or more, excluding Hispanic and Black or African American",2014,145 (0.3%) students,145
Liberal Arts,Female,Non-resident Alien,2014,359 (0.7%) students,359
Liberal Arts,Female,"Native Hawaiian or Other Pacific Islander, only",2014,5 (0.0%) students,5
Liberal Arts,Female,Hispanic,2014,1237 (2.4%) students,1237
Liberal Arts,Female,"Black or African American, two or more excluding Hispanic",2014,44 (0.1%) students,44
Liberal Arts,Female,"Black or African American, only",2014,240 (0.5%) students,240
Liberal Arts,Female,"Asian, only",2014,499 (1.0%) students,499
Liberal Arts,Female,"American Indian or Alaska Native, only",2014,11 (0.0%) students,11
Liberal Arts,Female,"White, only",2013,2665 (5.1%) students,2665
Liberal Arts,Female,Unknown or Blank,2013,50 (0.1%) students,50
Liberal Arts,Female,"Two or more, excluding Hispanic and Black or African American",2013,128 (0.2%) students,128
Liberal Arts,Female,Non-resident Alien,2013,373 (0.7%) students,373
Liberal Arts,Female,"Native Hawaiian or Other Pacific Islander, only",2013,6 (0.0%) students,6
Liberal Arts,Female,Hispanic,2013,1196 (2.3%) students,1196
Liberal Arts,Female,"Black or African American, two or more excluding Hispanic",2013,37 (0.1%) students,37
Liberal Arts,Female,"Black or African American, only",2013,264 (0.5%) students,264
Liberal Arts,Female,"Asian, only",2013,481 (0.9%) students,481
Liberal Arts,Female,"American Indian or Alaska Native, only",2013,17 (0.0%) students,17
Liberal Arts,Female,"White, only",2012,2833 (5.4%) students,2833
Liberal Arts,Female,Unknown or Blank,2012,45 (0.1%) students,45
Liberal Arts,Female,"Two or more, excluding Hispanic and Black or African American",2012,108 (0.2%) students,108
Liberal Arts,Female,Non-resident Alien,2012,345 (0.7%) students,345
Liberal Arts,Female,"Native Hawaiian or Other Pacific Islander, only",2012,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Female,Hispanic,2012,1199 (2.3%) students,1199
Liberal Arts,Female,"Black or African American, two or more excluding Hispanic",2012,32 (0.1%) students,32
Liberal Arts,Female,"Black or African American, only",2012,284 (0.5%) students,284
Liberal Arts,Female,"Asian, only",2012,521 (1.0%) students,521
Liberal Arts,Female,"American Indian or Alaska Native, only",2012,21 (0.0%) students,21
Liberal Arts,Female,"White, only",2011,3002 (5.9%) students,3002
Liberal Arts,Female,Unknown or Blank,2011,53 (0.1%) students,53
Liberal Arts,Female,"Two or more, excluding Hispanic and Black or African American",2011,81 (0.2%) students,81
Liberal Arts,Female,Non-resident Alien,2011,343 (0.7%) students,343
Liberal Arts,Female,"Native Hawaiian or Other Pacific Islander, only",2011,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Female,Hispanic,2011,1142 (2.2%) students,1142
Liberal Arts,Female,"Black or African American, two or more excluding Hispanic",2011,23 (0.0%) students,23
Liberal Arts,Female,"Black or African American, only",2011,298 (0.6%) students,298
Liberal Arts,Female,"Asian, only",2011,578 (1.1%) students,578
Liberal Arts,Female,"American Indian or Alaska Native, only",2011,23 (0.0%) students,23
Liberal Arts,Female,"White, only",2010,3226 (6.3%) students,3226
Liberal Arts,Female,Unknown or Blank,2010,57 (0.1%) students,57
Liberal Arts,Female,"Two or more, excluding Hispanic and Black or African American",2010,46 (0.1%) students,46
Liberal Arts,Female,Non-resident Alien,2010,348 (0.7%) students,348
Liberal Arts,Female,"Native Hawaiian or Other Pacific Islander, only",2010,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Female,Hispanic,2010,1204 (2.4%) students,1204
Liberal Arts,Female,"Black or African American, two or more excluding Hispanic",2010,17 (0.0%) students,17
Liberal Arts,Female,"Black or African American, only",2010,305 (0.6%) students,305
Liberal Arts,Female,"Asian, only",2010,648 (1.3%) students,648
Liberal Arts,Female,"American Indian or Alaska Native, only",2010,23 (0.0%) students,23
Liberal Arts,Female,"White, only",2009,3599 (7.1%) students,3599
Liberal Arts,Female,Unknown or Blank,2009,50 (0.1%) students,50
Liberal Arts,Female,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Female,Non-resident Alien,2009,337 (0.7%) students,337
Liberal Arts,Female,"Native Hawaiian or Other Pacific Islander, only",2009,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Female,Hispanic,2009,1187 (2.3%) students,1187
Liberal Arts,Female,"Black or African American, two or more excluding Hispanic",2009,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Female,"Black or African American, only",2009,346 (0.7%) students,346
Liberal Arts,Female,"Asian, only",2009,732 (1.4%) students,732
Liberal Arts,Female,"American Indian or Alaska Native, only",2009,32 (0.1%) students,32
Liberal Arts,Female,"White, only",2008,3963 (7.9%) students,3963
Liberal Arts,Female,Unknown or Blank,2008,41 (0.1%) students,41
Liberal Arts,Female,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Female,Non-resident Alien,2008,348 (0.7%) students,348
Liberal Arts,Female,"Native Hawaiian or Other Pacific Islander, only",2008,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Female,Hispanic,2008,1240 (2.5%) students,1240
Liberal Arts,Female,"Black or African American, two or more excluding Hispanic",2008,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Female,"Black or African American, only",2008,376 (0.8%) students,376
Liberal Arts,Female,"Asian, only",2008,731 (1.5%) students,731
Liberal Arts,Female,"American Indian or Alaska Native, only",2008,37 (0.1%) students,37
Liberal Arts,Male,"White, only",2018,2039 (3.9%) students,2039
Liberal Arts,Male,Unknown or Blank,2018,35 (0.1%) students,35
Liberal Arts,Male,"Two or more, excluding Hispanic and Black or African American",2018,111 (0.2%) students,111
Liberal Arts,Male,Non-resident Alien,2018,417 (0.8%) students,417
Liberal Arts,Male,"Native Hawaiian or Other Pacific Islander, only",2018,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Hispanic,2018,1075 (2.1%) students,1075
Liberal Arts,Male,"Black or African American, two or more excluding Hispanic",2018,30 (0.1%) students,30
Liberal Arts,Male,"Black or African American, only",2018,153 (0.3%) students,153
Liberal Arts,Male,"Asian, only",2018,507 (1.0%) students,507
Liberal Arts,Male,"American Indian or Alaska Native, only",2018,13 (0.0%) students,13
Liberal Arts,Male,"White, only",2017,2237 (4.4%) students,2237
Liberal Arts,Male,Unknown or Blank,2017,42 (0.1%) students,42
Liberal Arts,Male,"Two or more, excluding Hispanic and Black or African American",2017,117 (0.2%) students,117
Liberal Arts,Male,Non-resident Alien,2017,387 (0.8%) students,387
Liberal Arts,Male,"Native Hawaiian or Other Pacific Islander, only",2017,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Hispanic,2017,1120 (2.2%) students,1120
Liberal Arts,Male,"Black or African American, two or more excluding Hispanic",2017,38 (0.1%) students,38
Liberal Arts,Male,"Black or African American, only",2017,169 (0.3%) students,169
Liberal Arts,Male,"Asian, only",2017,525 (1.0%) students,525
Liberal Arts,Male,"American Indian or Alaska Native, only",2017,17 (0.0%) students,17
Liberal Arts,Male,"White, only",2016,2304 (4.5%) students,2304
Liberal Arts,Male,Unknown or Blank,2016,52 (0.1%) students,52
Liberal Arts,Male,"Two or more, excluding Hispanic and Black or African American",2016,129 (0.3%) students,129
Liberal Arts,Male,Non-resident Alien,2016,422 (0.8%) students,422
Liberal Arts,Male,"Native Hawaiian or Other Pacific Islander, only",2016,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Hispanic,2016,1114 (2.2%) students,1114
Liberal Arts,Male,"Black or African American, two or more excluding Hispanic",2016,33 (0.1%) students,33
Liberal Arts,Male,"Black or African American, only",2016,161 (0.3%) students,161
Liberal Arts,Male,"Asian, only",2016,503 (1.0%) students,503
Liberal Arts,Male,"American Indian or Alaska Native, only",2016,18 (0.0%) students,18
Liberal Arts,Male,"White, only",2015,2380 (4.7%) students,2380
Liberal Arts,Male,Unknown or Blank,2015,49 (0.1%) students,49
Liberal Arts,Male,"Two or more, excluding Hispanic and Black or African American",2015,116 (0.2%) students,116
Liberal Arts,Male,Non-resident Alien,2015,348 (0.7%) students,348
Liberal Arts,Male,"Native Hawaiian or Other Pacific Islander, only",2015,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Hispanic,2015,1032 (2.0%) students,1032
Liberal Arts,Male,"Black or African American, two or more excluding Hispanic",2015,33 (0.1%) students,33
Liberal Arts,Male,"Black or African American, only",2015,136 (0.3%) students,136
Liberal Arts,Male,"Asian, only",2015,454 (0.9%) students,454
Liberal Arts,Male,"American Indian or Alaska Native, only",2015,17 (0.0%) students,17
Liberal Arts,Male,"White, only",2014,2234 (4.4%) students,2234
Liberal Arts,Male,Unknown or Blank,2014,40 (0.1%) students,40
Liberal Arts,Male,"Two or more, excluding Hispanic and Black or African American",2014,91 (0.2%) students,91
Liberal Arts,Male,Non-resident Alien,2014,314 (0.6%) students,314
Liberal Arts,Male,"Native Hawaiian or Other Pacific Islander, only",2014,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Hispanic,2014,896 (1.8%) students,896
Liberal Arts,Male,"Black or African American, two or more excluding Hispanic",2014,31 (0.1%) students,31
Liberal Arts,Male,"Black or African American, only",2014,140 (0.3%) students,140
Liberal Arts,Male,"Asian, only",2014,412 (0.8%) students,412
Liberal Arts,Male,"American Indian or Alaska Native, only",2014,11 (0.0%) students,11
Liberal Arts,Male,"White, only",2013,2382 (4.6%) students,2382
Liberal Arts,Male,Unknown or Blank,2013,35 (0.1%) students,35
Liberal Arts,Male,"Two or more, excluding Hispanic and Black or African American",2013,82 (0.2%) students,82
Liberal Arts,Male,Non-resident Alien,2013,306 (0.6%) students,306
Liberal Arts,Male,"Native Hawaiian or Other Pacific Islander, only",2013,6 (0.0%) students,6
Liberal Arts,Male,Hispanic,2013,874 (1.7%) students,874
Liberal Arts,Male,"Black or African American, two or more excluding Hispanic",2013,34 (0.1%) students,34
Liberal Arts,Male,"Black or African American, only",2013,160 (0.3%) students,160
Liberal Arts,Male,"Asian, only",2013,426 (0.8%) students,426
Liberal Arts,Male,"American Indian or Alaska Native, only",2013,19 (0.0%) students,19
Liberal Arts,Male,"White, only",2012,2585 (5.0%) students,2585
Liberal Arts,Male,Unknown or Blank,2012,47 (0.1%) students,47
Liberal Arts,Male,"Two or more, excluding Hispanic and Black or African American",2012,87 (0.2%) students,87
Liberal Arts,Male,Non-resident Alien,2012,330 (0.6%) students,330
Liberal Arts,Male,"Native Hawaiian or Other Pacific Islander, only",2012,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Hispanic,2012,883 (1.7%) students,883
Liberal Arts,Male,"Black or African American, two or more excluding Hispanic",2012,26 (0.0%) students,26
Liberal Arts,Male,"Black or African American, only",2012,165 (0.3%) students,165
Liberal Arts,Male,"Asian, only",2012,460 (0.9%) students,460
Liberal Arts,Male,"American Indian or Alaska Native, only",2012,23 (0.0%) students,23
Liberal Arts,Male,"White, only",2011,2731 (5.4%) students,2731
Liberal Arts,Male,Unknown or Blank,2011,52 (0.1%) students,52
Liberal Arts,Male,"Two or more, excluding Hispanic and Black or African American",2011,58 (0.1%) students,58
Liberal Arts,Male,Non-resident Alien,2011,304 (0.6%) students,304
Liberal Arts,Male,"Native Hawaiian or Other Pacific Islander, only",2011,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Hispanic,2011,872 (1.7%) students,872
Liberal Arts,Male,"Black or African American, two or more excluding Hispanic",2011,21 (0.0%) students,21
Liberal Arts,Male,"Black or African American, only",2011,168 (0.3%) students,168
Liberal Arts,Male,"Asian, only",2011,470 (0.9%) students,470
Liberal Arts,Male,"American Indian or Alaska Native, only",2011,20 (0.0%) students,20
Liberal Arts,Male,"White, only",2010,2970 (5.8%) students,2970
Liberal Arts,Male,Unknown or Blank,2010,48 (0.1%) students,48
Liberal Arts,Male,"Two or more, excluding Hispanic and Black or African American",2010,25 (0.0%) students,25
Liberal Arts,Male,Non-resident Alien,2010,320 (0.6%) students,320
Liberal Arts,Male,"Native Hawaiian or Other Pacific Islander, only",2010,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Hispanic,2010,876 (1.7%) students,876
Liberal Arts,Male,"Black or African American, two or more excluding Hispanic",2010,8 (0.0%) students,8
Liberal Arts,Male,"Black or African American, only",2010,165 (0.3%) students,165
Liberal Arts,Male,"Asian, only",2010,496 (1.0%) students,496
Liberal Arts,Male,"American Indian or Alaska Native, only",2010,29 (0.1%) students,29
Liberal Arts,Male,"White, only",2009,3274 (6.4%) students,3274
Liberal Arts,Male,Unknown or Blank,2009,46 (0.1%) students,46
Liberal Arts,Male,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Non-resident Alien,2009,335 (0.7%) students,335
Liberal Arts,Male,"Native Hawaiian or Other Pacific Islander, only",2009,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Hispanic,2009,980 (1.9%) students,980
Liberal Arts,Male,"Black or African American, two or more excluding Hispanic",2009,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,"Black or African American, only",2009,168 (0.3%) students,168
Liberal Arts,Male,"Asian, only",2009,557 (1.1%) students,557
Liberal Arts,Male,"American Indian or Alaska Native, only",2009,30 (0.1%) students,30
Liberal Arts,Male,"White, only",2008,3560 (7.1%) students,3560
Liberal Arts,Male,Unknown or Blank,2008,40 (0.1%) students,40
Liberal Arts,Male,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Non-resident Alien,2008,329 (0.7%) students,329
Liberal Arts,Male,"Native Hawaiian or Other Pacific Islander, only",2008,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,Hispanic,2008,1047 (2.1%) students,1047
Liberal Arts,Male,"Black or African American, two or more excluding Hispanic",2008,No students match your selections or these data are privacy suppressed.,
Liberal Arts,Male,"Black or African American, only",2008,193 (0.4%) students,193
Liberal Arts,Male,"Asian, only",2008,576 (1.2%) students,576
Liberal Arts,Male,"American Indian or Alaska Native, only",2008,29 (0.1%) students,29
Medical School,Female,"White, only",2018,49 (0.1%) students,49
Medical School,Female,Hispanic,2018,9 (0.0%) students,9
Medical School,Female,"Black or African American, only",2018,6 (0.0%) students,6
Medical School,Female,"Asian, only",2018,15 (0.0%) students,15
Medical School,Female,"White, only",2017,30 (0.1%) students,30
Medical School,Female,Hispanic,2017,5 (0.0%) students,5
Medical School,Female,"Black or African American, only",2017,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Asian, only",2017,9 (0.0%) students,9
Medical School,Female,"White, only",2016,13 (0.0%) students,13
Medical School,Female,Hispanic,2016,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Black or African American, only",2016,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Asian, only",2016,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"White, only",2015,No students match your selections or these data are privacy suppressed.,
Medical School,Female,Hispanic,2015,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Black or African American, only",2015,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Asian, only",2015,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"White, only",2014,No students match your selections or these data are privacy suppressed.,
Medical School,Female,Hispanic,2014,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Black or African American, only",2014,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Asian, only",2014,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"White, only",2013,No students match your selections or these data are privacy suppressed.,
Medical School,Female,Hispanic,2013,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Black or African American, only",2013,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Asian, only",2013,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"White, only",2012,No students match your selections or these data are privacy suppressed.,
Medical School,Female,Hispanic,2012,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Black or African American, only",2012,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Asian, only",2012,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"White, only",2011,No students match your selections or these data are privacy suppressed.,
Medical School,Female,Hispanic,2011,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Black or African American, only",2011,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Asian, only",2011,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"White, only",2010,No students match your selections or these data are privacy suppressed.,
Medical School,Female,Hispanic,2010,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Black or African American, only",2010,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Asian, only",2010,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"White, only",2009,No students match your selections or these data are privacy suppressed.,
Medical School,Female,Hispanic,2009,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Black or African American, only",2009,No students match your selections or these data are privacy suppressed.,
Medical School,Female,"Asian, only",2009,No students match your selections or these data are privacy suppressed.,
